sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
JKT_K27Ac,01_Data/JKT_K27Ac_1.fastq.gz,01_Data/JKT_K27Ac_2.fastq.gz,1,K27Ac,JKT_IgG,1
JKT_K4Me3,01_Data/JKT_K4Me3_1.fastq.gz,01_Data/JKT_K4Me3_2.fastq.gz,1,K4Me3,JKT_IgG,1
3B6_K27Ac,01_Data/3B6_K27Ac_1.fastq.gz,01_Data/3B6_K27Ac_2.fastq.gz,1,K27Ac,3B6_IgG,1
3B6_K4Me3,01_Data/3B6_K4Me3_1.fastq.gz,01_Data/3B6_K4Me3_2.fastq.gz,1,K4Me3,3B6_IgG,1
1D9_K27Ac,01_Data/1D9_K27Ac_1.fastq.gz,01_Data/1D9_K27Ac_2.fastq.gz,1,K27Ac,3B6_IgG,1
1D9_K4Me3,01_Data/1D9_K4Me3_1.fastq.gz,01_Data/1D9_K4Me3_2.fastq.gz,1,K4Me3,3B6_IgG,1
2G5_K27Ac,01_Data/2G5_K27Ac_1.fastq.gz,01_Data/2G5_K27Ac_2.fastq.gz,1,K27Ac,3B6_IgG,1
2G5_K4Me3,01_Data/2G5_K4Me3_1.fastq.gz,01_Data/2G5_K4Me3_2.fastq.gz,1,K4Me3,3B6_IgG,1
JKT_IgG,01_Data/JKT_IgG_1.fastq.gz,01_Data/JKT_IgG_2.fastq.gz,1,,,
3B6_IgG,01_Data/3B6_IgG_1.fastq.gz,01_Data/3B6_IgG_2.fastq.gz,1,,,
